age,avgBill,avgDroppedCalls,avgInCalls,avgMins,avgOutCalls,avgOverBundleMins,avgReceivedMins,avgRoamCalls,avgrecurringCharge,billAmountChangePct,callMinutesChangePct,children,churn,creditCard,creditRating,currentHandsetPrice,customer,handsetAge,homeOwner,income,lastMonthCustomerCareCalls,lifeTime,marriageStatus,newFrequentNumbers,numHandsets,numRetentionCalls,numRetentionOffersAccepted,peakOffPeakRatio,peakOffPeakRatioChangePct,percent,regionType,smartPhone
26.0,257.42,13.67,41.0,1168.5,67.67,626.0,306.09,0.1,29.99,3.8802,12.01,True,True,True,C,99.99,1023685,509.0,False,1,0.0,27,unknown,0,5,0,0,0.40215214,10.5228492,0.0,,True
28.0,33.5,0.67,0.0,108.75,1.33,9.25,24.85,0.0,29.99,-0.0702,-0.755,False,False,True,A,0.0,1014077,765.0,False,3,0.0,25,no,0,1,0,0,2.8039502560000003,-7.467560369,0.411522633744856,suburban,True
52.0,35.73,41.0,8.0,342.5,36.0,0.0,61.71,0.0,44.99,0.005,6.33,False,True,True,B,79.99,1077722,68.0,False,9,0.0,11,yes,0,3,0,0,0.314907975,16.53660014,1.0204081632653061,town,True
,112.64,18.33,10.67,472.5,48.0,227.25,137.07,0.39,29.99,-1.653,-6.87,False,True,False,F,0.0,1038649,609.0,True,0,0.0,21,unknown,0,1,0,0,4.148312308,-2.51704534,0.0,,True
24.0,232.3,54.0,25.67,3633.75,208.33,474.5,1158.76,0.0,159.99,-0.6748,-3.615,False,True,True,B,199.99,1050039,19.0,False,1,1.0,15,no,0,2,0,0,2.0261774740000003,12.09297449,0.0,,True
46.0,27.48,4.0,0.67,488.75,10.0,0.0,81.39,0.0,40.03,-0.5496,-9.775,True,True,True,E,0.0,1069407,324.0,False,6,10.0,11,yes,3,1,0,0,1.476190476,1.924286366,2.7777777777777777,rural,True
38.0,48.68,7.67,8.0,211.75,17.33,23.75,70.01,0.0,42.49,-0.1038,-1.575,False,True,True,A,29.99,1011309,897.0,False,8,0.0,30,yes,0,2,0,0,3.30316015,8.332429146,0.0,,False
50.0,87.08,18.0,2.0,411.75,15.67,21.5,19.88,0.0,89.95,-0.0218,-0.795,True,False,True,F,0.0,1064294,295.0,False,6,0.33,10,yes,0,1,0,0,0.531914894,5.609645418,1.0204081632653061,town,True
54.0,89.78,6.0,21.67,605.5,39.0,128.5,185.74,0.0,49.99,-0.7759999999999999,-4.33,False,True,True,E,29.99,1024091,725.0,False,8,0.0,25,no,0,2,0,0,4.160516052,-3.779748505,1.0204081632653061,town,True
32.0,55.17,5.67,0.0,291.75,4.0,52.5,7.35,3.68,32.49,-0.3886,-5.835,False,True,False,C,0.0,1036746,583.0,False,2,0.0,19,unknown,0,1,0,0,3.315789474,3.421435717,2.7777777777777777,rural,True
58.0,34.99,2.0,0.0,48.25,8.33,0.0,0.0,0.0,44.99,0.0,0.135,False,False,True,B,99.99,1095075,235.0,False,7,0.0,9,yes,0,2,0,0,2.9175,-7.463606265,0.411522633744856,suburban,True
48.0,94.41,12.0,2.0,945.75,30.0,120.25,319.66,3.52,59.51,0.4774,5.225,True,True,True,G,59.99,1035018,90.0,False,8,8.67,22,no,0,2,0,0,0.965623793,6.458100066,0.411522633744856,suburban,True
46.0,35.76,4.33,0.67,209.25,18.67,16.0,19.08,0.0,39.99,0.3462,2.475,False,False,True,B,0.0,1052907,536.0,False,4,0.0,18,no,0,1,0,0,1.084104289,3.809478243,0.411522633744856,suburban,True
54.0,68.69,33.0,30.33,1037.25,94.0,234.75,166.61,0.0,10.0,0.1712,2.055,False,True,True,C,9.99,1040614,66.0,False,6,3.0,18,yes,0,2,0,0,1.066259375,11.42245016,0.411522633744856,suburban,True
38.0,41.14,5.0,26.0,506.25,72.0,0.0,122.97,1.61,38.78,0.0366,2.935,False,False,False,E,0.0,1094615,202.0,False,6,0.33,7,unknown,0,1,0,0,0.756064614,-4.028471025,0.0,,True
44.0,87.61,30.67,30.33,1269.0,45.33,77.0,498.52,0.29,59.99,0.3792,-2.84,False,False,True,C,79.99,1034536,364.0,False,9,1.67,18,no,0,5,0,0,0.908123004,-1.08222436,0.411522633744856,suburban,True
,68.57,17.67,15.67,561.5,30.0,9.75,96.21,0.97,69.99,0.1716,2.09,False,False,False,E,129.99,1039096,66.0,True,0,1.33,20,unknown,0,2,0,0,0.632183908,12.06582017,1.0204081632653061,town,True
36.0,53.49,11.67,0.0,755.25,11.0,0.0,6.49,0.0,59.99,-0.005,2.135,False,True,True,B,0.0,1031098,677.0,False,6,0.0,23,no,1,1,0,0,1.6067756619999998,-7.117381787,0.411522633744856,suburban,False
46.0,68.62,11.67,29.67,692.25,79.67,52.5,175.59,0.69,49.99,-0.328,-4.245,True,False,True,A,0.0,1013358,844.0,False,9,0.0,28,yes,0,1,0,0,0.985694459,-2.8406137680000003,0.411522633744856,suburban,False
36.0,30.28,4.33,0.0,179.75,4.33,0.0,13.42,0.0,39.99,0.0142,1.145,True,False,True,C,29.99,1012953,250.0,False,6,0.67,26,yes,0,2,0,0,5.686035614,5.444306785,1.0204081632653061,town,True
58.0,22.66,0.0,0.0,28.25,0.67,15.75,1.58,0.0,16.99,-0.0602,-0.185,False,True,True,B,0.0,1034741,715.0,False,4,0.0,24,unknown,0,1,0,0,0.526066351,6.434960875,0.411522633744856,suburban,False
30.0,84.92,9.0,1.33,688.25,9.0,141.75,104.17,0.0,44.99,2.3474,12.255,True,False,True,D,0.0,1082866,201.0,False,4,0.0,7,yes,0,1,0,0,0.978947368,2.38061102,0.411522633744856,suburban,False
,13.52,0.0,0.0,14.0,1.33,8.75,0.07,0.0,10.0,0.0234,0.14,False,True,False,F,0.0,1024399,683.0,True,0,0.0,22,unknown,0,1,0,0,7.0,-5.354644311,0.411522633744856,suburban,True
36.0,11.67,5.33,7.33,146.5,12.33,0.0,43.38,0.0,10.0,0.1106,1.65,True,True,True,B,0.0,1052014,483.0,False,6,0.0,16,yes,0,1,0,0,1.228889841,16.94115529,0.411522633744856,suburban,True
34.0,77.37,7.0,0.67,772.0,2.67,85.75,81.72,0.8,41.28,-0.6826,-1.74,False,False,True,C,0.0,1097223,191.0,False,6,0.0,7,unknown,0,1,0,0,1.2574097359999998,-3.821695606,0.0,,True
52.0,29.32,3.0,11.0,275.25,34.0,16.25,61.59,0.56,30.0,-0.1048,-1.125,False,True,False,B,0.0,1028523,579.0,True,0,0.0,19,no,0,1,0,0,1.0301825409999998,-3.219634494,0.411522633744856,suburban,True
50.0,30.0,1.0,0.0,137.25,0.33,0.0,10.5,0.0,37.66,0.4858,3.375,False,True,True,D,0.0,1093212,228.0,True,6,2.67,8,unknown,0,1,0,0,0.880023995,8.648757551000001,0.0,,True
48.0,30.0,17.0,0.0,182.5,0.33,0.0,1.47,0.0,30.0,-0.0002,1.41,True,True,True,B,0.0,1031741,736.0,False,4,0.0,25,yes,0,1,0,0,0.92217534,1.934313819,0.0,,False
24.0,29.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.99,0.0,0.0,False,True,True,C,0.0,1060654,486.0,True,7,0.0,16,no,0,1,0,0,0.0,4.895380885,0.0,,True
,37.03,8.0,4.33,392.0,7.67,6.25,58.9,1.6,44.99,0.2272,1.42,False,True,False,B,0.0,1028011,691.0,True,0,2.0,23,unknown,0,1,0,0,1.314722222,-11.65799818,0.0,,False
,31.23,0.0,0.0,80.5,0.0,0.0,0.0,0.0,29.99,-0.005,1.77,False,True,False,C,0.0,1064800,355.0,True,0,0.0,12,unknown,0,1,0,0,0.0,8.660161105,0.0,,False
,51.93,3.67,0.0,14.75,0.0,0.0,0.88,1.94,49.99,0.0002,0.185,False,True,False,G,0.0,1079608,318.0,True,0,1.0,11,unknown,0,1,0,0,0.835,9.021059722999999,2.7777777777777777,rural,True
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,G,79.99,1048031,6.0,True,0,0.0,15,unknown,0,2,1,0,0.0,-6.987428311,0.411522633744856,suburban,True
52.0,50.43,3.33,0.0,317.0,2.0,0.0,2.6,0.2,49.99,-0.0088,-3.68,True,True,True,B,0.0,1046592,531.0,False,9,0.0,18,yes,0,1,1,1,1.09375,-11.96166518,0.411522633744856,suburban,True
